Family Health Clinic Narowal,143,1,1,143,18
Family Health Clinic Shakargarh,143,1,1,143,18
Family Health Mobile Unit Narowal,143,1,1,143,18
Family Health Mobile Unit Shakargarh,143,1,1,143,18
FWC Narowal. 1,143,1,1,143,18
FWC Narowal.II,143,1,1,143,18
,143,1,1,143,18
FWC Sughra Shafi Hospital Narowal,143,1,1,143,18
FWC Dhamthal,143,1,1,143,18
FWC Talwindi Bhandran,143,1,1,143,18
FWC Sankhtra,143,1,1,143,18
FWC Jassar,143,`,1,143,18
FWC Singail,143,1,1,143,18
FWC Adda Siraj,143,1,1,143,18
FWC Dariawala,143,1,1,143,18
FWC Zafarwal,143,1,1,143,18
FWC Qila Ahmed Abad,143,1,1,143,18
,143,1,1,143,18
FWC Baddo malhi,143,1,1,143,18
FWC Domala,143,1,1,143,18
FWC Feroze Pur,143,1,1,143,18
FWC Marara,143,1,1,143,18
FWC Shakar Garh.1,143,1,1,143,18
FWC Shakar Garh. 2,143,1,1,143,18
FWC Maryial,143,1,1,143,18
FWC Darman,143,1,1,143,18
FWC Bhari Khurd,143,1,1,143,18
FWC Eissa Sahary ,143,1,1,143,18
FWC Jabbal,143,1,1,143,18
FWC Lassar,143,1,1,143,18
FWC Manzoor pura plat,143,1,1,143,18
FWC Kanjroor,143,1,1,143,18
FWC Noor Kot,143,1,1,143,18
Family Health Clinic Okara,37,1,1,37,18
Family Health Clinic Renala Khurd,37,1,1,37,18
Family Health Clinic Depalpur,37,1,1,37,18
Family Health Mobile Unit Okara,37,1,1,37,18
Family Health Mobile Unit Renala Khurd,37,1,1,37,18
Family Health Mobile Unit Depalpur,37,1,1,37,18
Family Health Centre Okara-I  ,37,1,1,37,18
Family Health Centre Okara-II,37,1,1,37,18
Family Health Centre Okara-III,37,1,1,37,18
Family Health Centre Military Farm,37,1,1,37,18
Family Health Centre Ghazi Abad,37,1,1,37,18
Family Health Centre CMH Okara Cantt,37,1,1,37,18
Family Health Centre 38/2.RA,37,1,1,37,18
Family Health Centre Bahadar Nagar Farm,37,1,1,37,18
Family Health Centre 14/GD,37,1,1,37,18
Family Health Centre 18/G.D,37,1,1,37,18
Family Health Centre Joiya,37,1,1,37,18
Family Health Centre 24/2.R,37,1,1,37,18
Family Health Centre 54/2.L,37,1,1,37,18
Family Health Centre 43/GD,37,1,1,37,18
Family Health Centre Anjuman Bahbood-E-Khawateen,37,1,1,37,18
Family Health Centre Gogera,37,1,1,37,18
Family Health Centre (R.D.34/4.L,37,1,1,37,18
Family Health Centre 42/2.L,37,1,1,37,18
Family Health Centre Depalpur-II,37,1,1,37,18
Family Health Centre Depalpur-I,37,1,1,37,18
Family Health Centre 40/D,37,1,1,37,18
Family Health Centre Mazhar Abad,37,1,1,37,18
Family Health Centre Hujra Shah Muqeem-I,37,1,1,37,18
Family Health Centre Hujra Shah Muqeem-II,37,1,1,37,18
Family Health Centre Rajowal,37,1,1,37,18
Family Health Centre Battak,37,1,1,37,18
Family Health Centre Sher Gharh,37,1,1,37,18
Family Health Centre Haveli Lakha-I,37,1,1,37,18
Family Health Centre Haveli Lakha-II,37,1,1,37,18
Family Health Centre Mandi Ahmed Abad,37,1,1,37,18
Family Health Centre Nikki Maneki,37,1,1,37,18
Family Health Centre Wasawewala,37,1,1,37,18
Family Health Centre Piply Pahar,37,1,1,37,18
Family Health Centre Basir Pur,37,1,1,37,18
Family Health Centre Mirza Pur,37,1,1,37,18
FH.Centre  Renala Khurd-II,37,1,1,37,18
Family Health Centre Renala Khurd-I,37,1,1,37,18
Family Health Centre 2/1.L,37,1,1,37,18
Family Health Centre Akhtar Abad,37,1,1,37,18
Family Health Centre 12/1.L,37,1,1,37,18
Family Health Centre 4/G.D,37,1,1,37,18
Family Health Centre Bama Bala,37,1,1,37,18
Family Health Centre 18/1.A.L,37,1,1,37,18
FHC DHQ Pakpattan,38,1,1,38,18
FHC THQ Arifwala,38,1,1,38,18
