JAN,28849.51,491.33,8470.2,6.1,166184.2,12778.5,8.17,9691,315,0
FEB,28709.68,402.4,8240.73,4,165144.6,9072,6.67,9359,265,0
MAR,28671.38,651.87,8403.53,2.75,186691,7059.5,2.83,10864.5,397.5,0
APR,29129.16,700.87,8851.6,1.3,186714,5309.5,2.5,10510,320,0
MAY,28755.71,707.07,8684,0.6,179584,4018,3.17,10212.25,595,0
JUN,29432.38,564.33,9052.53,1.75,179022.8,3258.5,4.33,9799.75,977.5,0
JUL,27737.27,536.47,8472.47,0.55,155411,2534,3.17,9406.5,505,0
AUG,28214.41,483.4,8455.4,0.05,164762.8,2387,3.17,9741.5,782.5,0
SEP,0,0,0,0,0,0,0,0,0,0
OCT,0,0,0,0,0,0,0,0,0,0
NOV,0,0,0,0,0,0,0,0,0,0
DEC,0,0,0,0,0,0,0,0,0,0
